month,day,height,numengs,time_of_day,season,phase_of_flt,damage,effect,sky,min_bird_struck,max_bird_struck,size,struck_combined,damage_combined,eng_fail
07,01,0,2,unknown,summer,takeoffrun,N,none,unknown,1,1,medium,TRUE,FALSE,0
05,06,0,3,day,spring,takeoffrun,N,none,nocloud,1,1,medium,TRUE,FALSE,0
11,05,1500,2,dawn,fall,approach,M?,none,overcast,11,100,medium,TRUE,TRUE,0
07,02,0,2,unknown,summer,landingroll,N,none,unknown,1,1,medium,TRUE,FALSE,0
09,19,100,2,day,fall,approach,U,none,somecloud,2,10,small,FALSE,FALSE,0
08,07,200,1,night,summer,climb,M,none,nocloud,1,1,large,TRUE,TRUE,0
09,07,0,2,day,fall,landingroll,N,none,nocloud,2,10,small,FALSE,FALSE,0
04,28,0,2,unknown,spring,takeoffrun,S,abortedtakeoff,unknown,11,100,medium,TRUE,TRUE,0
10,18,1200,2,day,fall,approach,S,none,unknown,2,10,large,TRUE,TRUE,0
10,10,600,2,unknown,fall,approach,N,none,overcast,1,1,small,FALSE,FALSE,0
10,26,300,2,night,fall,approach,N,none,nocloud,1,1,medium,FALSE,FALSE,0
08,30,1000,2,night,summer,approach,M,none,somecloud,1,1,medium,TRUE,TRUE,0
07,09,500,2,dawn,summer,climb,N,precautionarylanding,somecloud,1,1,medium,TRUE,FALSE,0
07,07,100,2,day,summer,climb,N,none,nocloud,1,1,small,FALSE,FALSE,0
11,08,3700,2,day,fall,climb,M?,precautionarylanding,overcast,2,10,large,TRUE,TRUE,0
08,20,0,2,dusk,summer,takeoffrun,N,abortedtakeoff,nocloud,2,10,medium,TRUE,FALSE,0
05,21,7100,2,unknown,spring,approach,U,none,unknown,1,1,medium,TRUE,FALSE,0
05,25,200,2,day,spring,approach,N,none,overcast,1,1,small,TRUE,FALSE,0
09,19,150,2,day,fall,approach,N,none,overcast,2,10,medium,FALSE,FALSE,0
04,08,25,2,day,spring,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
12,17,0,1,day,winter,landingroll,N,none,nocloud,1,1,medium,FALSE,FALSE,0
11,27,0,1,night,fall,landingroll,S,none,nocloud,1,1,large,TRUE,TRUE,0
05,25,500,2,unknown,spring,climb,M,none,somecloud,1,1,large,TRUE,TRUE,0
05,13,300,3,day,spring,approach,N,none,somecloud,1,1,small,FALSE,FALSE,0
04,07,0,3,day,spring,landingroll,N,none,nocloud,1,1,medium,TRUE,FALSE,0
09,21,4000,3,night,fall,approach,N,none,nocloud,1,1,medium,FALSE,FALSE,0
07,30,0,3,day,summer,landingroll,N,none,somecloud,2,10,small,FALSE,FALSE,0
08,27,0,3,day,summer,takeoffrun,U,none,somecloud,1,1,medium,FALSE,FALSE,0
05,07,0,2,day,spring,landingroll,N,none,nocloud,2,10,medium,FALSE,FALSE,0
03,02,0,2,day,spring,takeoffrun,S,precautionarylanding,somecloud,1,1,medium,TRUE,TRUE,0
09,18,0,2,dawn,fall,takeoffrun,S,abortedtakeoff,nocloud,1,1,small,TRUE,TRUE,0
09,19,50,2,day,fall,climb,N,none,overcast,1,1,small,FALSE,FALSE,0
06,23,10,2,day,summer,climb,N,none,somecloud,1,1,medium,FALSE,FALSE,0
08,14,0,2,day,summer,takeoffrun,N,none,nocloud,1,1,small,FALSE,FALSE,0
08,03,0,2,day,summer,takeoffrun,N,none,unknown,1,1,small,FALSE,FALSE,0
